,업종명,상호,영업소소재지(도로명),Latitude,Longitude
0,인터넷컴퓨터게임시설제공업,nu PC 산격점,"대구광역시 북구 연암로 177, 2층 (산격동)",35.9002242,128.5961498
1,인터넷컴퓨터게임시설제공업,헬로PC방,"대구광역시 북구 침산로 162-15, 2,3층 (침산동)",35.8910641,128.5912362
2,인터넷컴퓨터게임시설제공업,욜로PC방,"대구광역시 북구 옥산로 94, 5층 (고성동3가)",35.8832644,128.5841808
3,인터넷컴퓨터게임시설제공업,케이투,"대구광역시 북구 구암로 135, 4층 (동천동)",35.932124,128.5556254
4,인터넷컴퓨터게임시설제공업,nu피시방서변점,"대구광역시 북구 호국로 215, 5층 502,503호 (서변동, 대성골든프라자2차)",35.92085,128.5988232
5,인터넷컴퓨터게임시설제공업,바이킹PC방,"대구광역시 북구 동북로 162, 5층 (산격동)",35.8992586,128.6103862
6,인터넷컴퓨터게임시설제공업,퀸PC,"대구광역시 북구 동북로 290, 5층 (복현동)",35.8923438,128.6216213
7,인터넷컴퓨터게임시설제공업,헬로PC,"대구광역시 북구 동북로 156, 2층 (산격동)",35.899456,128.6096721
8,인터넷컴퓨터게임시설제공업,라이언PC방,"대구광역시 북구 원대로 76, 지하1층 (고성동3가)",35.8842394,128.5819995
9,인터넷컴퓨터게임시설제공업,팽피시카페동천점,"대구광역시 북구 동천로 122, 3층 (동천동)",35.9424775,128.5610047
10,인터넷컴퓨터게임시설제공업,맘모스PC,"대구광역시 북구 동북로 246, 2층 (복현동)",35.8950776,128.6177613
11,인터넷컴퓨터게임시설제공업,LUJO PC(루호피시),"대구광역시 북구 대현로9길 50, 2층 (산격동)",35.8885151,128.6035838
12,인터넷컴퓨터게임시설제공업,PC칸,"대구광역시 북구 관음중앙로 129, 1층 (관음동)",35.9450074,128.5463684
13,인터넷컴퓨터게임시설제공업,올레,"대구광역시 북구 대학로15길 9, 3층 (산격동)",35.8928749,128.6080088
14,인터넷컴퓨터게임시설제공업,고구려PC방,"대구광역시 북구 태전로 50, 2층 (태전동)",35.9248281,128.5441673
15,인터넷컴퓨터게임시설제공업,인스타고성점,"대구광역시 북구 고성북로 18, 2층 (고성동3가)",35.8813602,128.5830206
16,인터넷컴퓨터게임시설제공업,엔젤PC방,"대구광역시 북구 검단로 34, 108동 지하1층 001호 (복현동, 청구아파트)",35.9006787,128.6168111
17,인터넷컴퓨터게임시설제공업,OK PC방,"대구광역시 북구 팔거천동로 80-1, 4층 (구암동)",35.9314089,128.5553045
18,인터넷컴퓨터게임시설제공업,점프PC,"대구광역시 북구 학정로7길 2, 지하1층층 (태전동)",35.9138599,128.546779
19,인터넷컴퓨터게임시설제공업,제이와이피씨카페(JY PC cafe),"대구광역시 북구 대현로9길 60, 3층 (산격동)",35.8881691,128.602663
20,인터넷컴퓨터게임시설제공업,RII(알투),"대구광역시 북구 대현로 84, 4층 (대현동)",35.8826577,128.6080016
21,인터넷컴퓨터게임시설제공업,이노스페이스,"대구광역시 북구 칠곡중앙대로 487, 3층 (관음동)",35.9499813,128.5434818
22,인터넷컴퓨터게임시설제공업,겜,"대구광역시 북구 동암로 21-2, 2층 (읍내동)",35.94675,128.553962
23,인터넷컴퓨터게임시설제공업,비타민PC,"대구광역시 북구 동북로 212, 2층 (복현동)",35.8969319,128.615229
24,인터넷컴퓨터게임시설제공업,더존PC,"대구광역시 북구 칠곡중앙대로 345, 2층 (태전동)",35.9265016,128.5471774
25,인터넷컴퓨터게임시설제공업,준,"대구광역시 북구 침산로 162-7, 1,2층 (침산동)",35.8909167,128.5907832
26,인터넷컴퓨터게임시설제공업,골드문PC방,"대구광역시 북구 칠곡중앙대로 322, 3층 (태전동)",35.924375,128.5474653
27,인터넷컴퓨터게임시설제공업,루호복현점,"대구광역시 북구 경진로 24, 2층 (복현동)",35.8946307,128.6150883
28,인터넷컴퓨터게임시설제공업,아이카페PC방복현점,"대구광역시 북구 동북로 263, 2층 (복현동)",35.8943541,128.6196377
29,인터넷컴퓨터게임시설제공업,주노(JUNO)PC방,"대구광역시 북구 칠곡중앙대로69길 11, 2층 (태전동)",35.9266015,128.5460201
30,인터넷컴퓨터게임시설제공업,그린타임,"대구광역시 북구 침산로 162-6, 2층 (침산동)",35.890719,128.5908549
31,인터넷컴퓨터게임시설제공업,스팀,"대구광역시 북구 오봉로6길 30, 2층 (노원동1가)",35.8897719,128.5798967
32,인터넷컴퓨터게임시설제공업,이노스페이스대현점,"대구광역시 북구 대현로 94, 지하1층 (대현동)",35.8823493,128.6092774
33,인터넷컴퓨터게임시설제공업,어벤져스PC,"대구광역시 북구 호암로 30, 지하1층 (칠성동2가)",35.8823342,128.5939313
34,인터넷컴퓨터게임시설제공업,밥피시(BOBPC)구암점,"대구광역시 북구 동암로 128, 2층 (구암동)",35.9437107,128.5646168
35,인터넷컴퓨터게임시설제공업,G-ha PC방,"대구광역시 북구 대학로23길 21, 지하1층 (산격동)",35.8939131,128.6098134
36,인터넷컴퓨터게임시설제공업,킹피씨방,"대구광역시 북구 동북로 288, 4층 (복현동)",35.892525,128.6212594
37,인터넷컴퓨터게임시설제공업,에이스피씨,"대구광역시 북구 매전로 6, 4층 (매천동)",35.9085861999999,128.5428219
38,인터넷컴퓨터게임시설제공업,카카오PC방,"대구광역시 북구 신암로 73, 2층 (대현동)",35.8784541,128.6085033
39,인터넷컴퓨터게임시설제공업,센PC,"대구광역시 북구 팔거천동로34길 2-20, 1층 (동천동)",35.9377403,128.5575067
40,인터넷컴퓨터게임시설제공업,젠PC방,"대구광역시 북구 매전로 8, 5층 (매천동)",35.9085554,128.5430576
41,인터넷컴퓨터게임시설제공업,X-NPC방,"대구광역시 북구 검단로 255, 103동 2층 1103호 (검단동, 민들레아파트)",35.915797,128.6288427
42,인터넷컴퓨터게임시설제공업,달인피시방,"대구광역시 북구 침산남로13길 19, 2층 (노원동1가)",35.8900382,128.5807493
43,인터넷컴퓨터게임시설제공업,이노스페이스(산격대우점),"대구광역시 북구 산격로 110, 2층 (산격동)",35.8993522,128.6082788
44,인터넷컴퓨터게임시설제공업,제타PC방,"대구광역시 북구 팔달로37길 68, 2층 (노원동2가)",35.8916381,128.5717391
45,인터넷컴퓨터게임시설제공업,쓰리PC,"대구광역시 북구 관음중앙로 103, 1층 (관음동)",35.9431001,128.5448124
46,인터넷컴퓨터게임시설제공업,알피시방,"대구광역시 북구 대현로 72, 2층 (대현동)",35.8832794,128.6068014
47,인터넷컴퓨터게임시설제공업,메가 PC방,"대구광역시 북구 팔거천동로 210, 3층 (동천동)",35.9426903,128.5584824
48,인터넷컴퓨터게임시설제공업,게임매니아 PC,"대구광역시 북구 호국로 219, 대성골든프라자1차 1층 (서변동)",35.9213601,128.5988248
49,인터넷컴퓨터게임시설제공업,에이스PC방,"대구광역시 북구 동천로 128-8, 4층 (동천동)",35.9425599,128.5616958
50,인터넷컴퓨터게임시설제공업,씨에스 PC방,"대구광역시 북구 동천로 138-10, 3층 (동천동)",35.9435791999999,128.5621042
51,인터넷컴퓨터게임시설제공업,아이파크PC,"대구광역시 북구 동천로 128, 3층 (동천동)",35.9430234,128.5610773
52,인터넷컴퓨터게임시설제공업,링크PC방,"대구광역시 북구 태전로 40, 2층 (태전동)",35.9240337,128.5446306
53,인터넷컴퓨터게임시설제공업,배트맨PC(산격점),"대구광역시 북구 동북로 150, 2층 (산격동)",35.8998577,128.6090193
54,인터넷컴퓨터게임시설제공업,체스PC방,"대구광역시 북구 구암로16길 6, 4층 (태전동)",35.9318856,128.5490486
55,인터넷컴퓨터게임시설제공업,스팀PC방,"대구광역시 북구 칠곡중앙대로46길 8, 2층 (태전동)",35.9169036,128.5491368
56,인터넷컴퓨터게임시설제공업,고고PC(고고피씨),"대구광역시 북구 연암로 170, 2층 (산격동)",35.8995684,128.5964451
57,인터넷컴퓨터게임시설제공업,행운PC방,"대구광역시 북구 태암로 10-1, 1층 (태전동)",35.9284776,128.5490805
58,인터넷컴퓨터게임시설제공업,이센스PC,"대구광역시 북구 동천로 128-15, 3층 (동천동)",35.9428547,128.5624405
59,인터넷컴퓨터게임시설제공업,직방PC(복현점),"대구광역시 북구 동북로 311, 3층 (복현동)",35.8920561,128.6239142
60,인터넷컴퓨터게임시설제공업,라임PC방(산격점),"대구광역시 북구 동북로 199, 2층 (산격동)",35.8981994,128.6143028
61,인터넷컴퓨터게임시설제공업,스톰PC존,"대구광역시 북구 침산남로서9길 5-2, 1층 (침산동)",35.8915049,128.5807079
62,인터넷컴퓨터게임시설제공업,팝콘PC방,"대구광역시 북구 침산남로44길 50, 2,3층 (침산동)",35.8848714,128.5982986
63,인터넷컴퓨터게임시설제공업,레알PC방,"대구광역시 북구 한강로6길 19, 3층 301,302,303호 (사수동)",35.9012052,128.5127602
