,연번,등급분류번호,게임물명,신청사,신청일자,결정일자,결정등급,접수번호,등급분류기관
0,1,CC-NA-220707-001,노인과바다 포커2,(주)한울소프트,2022-04-12,2022-07-07,청소년이용불가,DG-NA-22-00030,GRAC
1,2,CC-NA-220707-002,빅게임2,(주)한울소프트,2022-04-12,2022-07-07,청소년이용불가,DG-NA-22-00031,GRAC
2,3,CC-NA-220707-003,신도깨비2,드림전자,2022-04-19,2022-07-07,청소년이용불가,DG-NA-22-00033,GRAC
3,4,CC-NA-220707-004,드래곤 캐슬,엔디테크,2022-04-28,2022-07-07,청소년이용불가,DG-NA-22-00035,GRAC
4,5,CC-NA-220707-005,新西遊記Poker(신서유기포커),게임플러스,2022-05-10,2022-07-07,청소년이용불가,DG-NA-22-00042,GRAC
5,6,CC-NP-220707-001,New Tales From Borderlands (뉴 테일즈 프롬 더 보더랜드),테이크투인터랙티브유한회사,2022-05-11,2022-07-07,청소년이용불가,DG-NP-22-00112,GRAC
6,7,CC-NP-220707-002,New Tales from Borderlands Deluxe Edition (뉴 테일즈 프롬 더 보더랜드 딜럭스 에디션),테이크투인터랙티브유한회사,2022-06-13,2022-07-07,청소년이용불가,DG-NP-22-00147,GRAC
7,8,CC-NP-220707-003,Poker Pretty Girls Battle: Texas Holdem (포커 프리티 걸스 배틀 : 텍사스 홀덤),스마일게이트스토브,2022-06-27,2022-07-07,청소년이용불가,DG-NP-22-00165,GRAC
8,9,CC-NP-220707-004,Poker Pretty Girls Battle Fantasy World Edition (포커 프리티 걸스 배틀 판타지 월드 에디션),스마일게이트스토브,2022-06-27,2022-07-07,청소년이용불가,DG-NP-22-00166,GRAC
9,10,CC-NP-220707-005,드래곤 캐슬 PC,엔디테크,2022-05-26,2022-07-07,청소년이용불가,DG-NP-22-00123,GRAC
10,11,CC-NP-220707-006,POSTAL 4: No Regerts (포스탈4 : 후회는 ㅇ벗다),스마일게이트스토브,2022-06-20,2022-07-07,청소년이용불가,DG-NP-22-00152,GRAC
11,12,CC-NP-220707-007,호두맞고(Hodoo Matgo),배드엔터테인먼트,2022-06-13,2022-07-07,청소년이용불가,DG-NP-22-00142,GRAC
12,13,CC-NP-220707-008,호두바둑이(Hodoo Baduki),배드엔터테인먼트,2022-06-13,2022-07-07,청소년이용불가,DG-NP-22-00143,GRAC
13,14,CC-NP-220707-009,호두포커(Hodoo Poker),배드엔터테인먼트,2022-06-13,2022-07-07,청소년이용불가,DG-NP-22-00144,GRAC
14,15,CC-NP-220707-010,호두홀덤(Hodoo Holdem),배드엔터테인먼트,2022-06-13,2022-07-07,청소년이용불가,DG-NP-22-00145,GRAC
15,16,CC-NP-220707-011,피닉스 바카라,스테이 소포르,2022-06-16,2022-07-07,청소년이용불가,DG-NP-22-00149,GRAC
16,17,CC-NP-220707-012,피닉스 블랙잭,스테이 소포르,2022-06-16,2022-07-07,청소년이용불가,DG-NP-22-00150,GRAC
17,18,CC-NP-220707-013,피닉스 슬롯,스테이 소포르,2022-06-16,2022-07-07,청소년이용불가,DG-NP-22-00151,GRAC
