,0,1,2,3
0,97,Super Mario Odyssey,Switch,"Oct 27, 2017"
1,96,The Legend of Zelda: Breath of the Wild,"Wii-U, Switch","Mar 3, 2017"
2,96,Red Dead Redemption 2,"PS4, XB1, Stadia, PC, XBXS, PS5","Oct 26, 2018"
3,95,Elden Ring,"PC, XBXS, PS5, XB1, PS4","Feb 25, 2022"
4,95,Metroid Prime Remastered,Switch,"Feb 8, 2023"
5,94,God of War,"PS4, PS5","Apr 20, 2018"
6,94,The Last of Us Remastered,"PS4, PS5","Jul 28, 2014"
7,94,Persona 5 Royal,"PS4, PS5","Mar 31, 2020"
8,94,Persona 5,"PS4, PS5","Apr 4, 2017"
9,94,Hades,"PC, Switch","Sep 17, 2020"
10,93,Divinity: Original Sin 2,PC,"Sep 14, 2017"
11,93,Journey,"PS4, PS5","Jul 21, 2015"
12,93,Undertale,"PS4, PC, Vita, Switch, PS5","Sep 15, 2015"
13,93,Dead Cells: The Queen & the Sea,"XB1, PS4, Switch, PC","Jan 6, 2022"
14,93,Super Mario 3D World,Wii-U,"Nov 22, 2013"
15,93,God of War Ragnarök,"PS4, PS5","Nov 9, 2022"
16,93,The Last of Us Part II,"PS4, PS5","Jun 19, 2020"
17,93,Portal: Companion Collection,Switch,"Jun 28, 2022"
18,93,Final Fantasy XIV: Endwalker,"PC, PS5, PS4","Dec 7, 2021"
19,93,Uncharted 4: A Thief's End,"PS4, PS5","May 10, 2016"
20,93,Half-Life: Alyx,"Vive, Oculus","Mar 23, 2020"
21,93,The Witcher 3: Wild Hunt,"PS4, XB1, PC, XBXS, PS5","May 19, 2015"
22,93,Metal Gear Solid V: The Phantom Pain,"PS4, XB1, PC, XBXS, PS5","Sep 1, 2015"
23,92,The Witcher 3: Wild Hunt - Blood and Wine,"PS4, XB1, PC, XBXS, PS5","May 30, 2016"
24,92,Grand Theft Auto V,"PS4, XB1, PC, XBXS, PS5","Nov 18, 2014"
25,92,Forza Horizon 5,"PC, XB1, XBXS","Nov 9, 2021"
26,92,Resident Evil 2,"PS4, XB1, PC, XBXS, PS5","Jan 25, 2019"
27,92,Super Smash Bros. Ultimate,Switch,"Dec 7, 2018"
28,92,Demon's Souls (2020 Remake),PS5,"Nov 12, 2020"
29,92,Super Smash Bros. for Wii U,Wii-U,"Nov 21, 2014"
30,92,Forza Horizon 4,"XB1, PC, XBXS","Oct 2, 2018"
31,92,DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,"Switch, XBXS, PS5, PS4, XB1, PC","Sep 27, 2019"
32,92,Microsoft Flight Simulator,"PC, XBXS","Aug 18, 2020"
33,92,Celeste,"PS4, XB1, PC, Switch, XBXS, PS5","Jan 25, 2018"
34,92,Disco Elysium,PC,"Oct 15, 2019"
35,92,Shadow of the Colossus,"PS4, PS5","Feb 6, 2018"
36,92,NieR: Automata Become as Gods Edition,"XB1, XBXS","Jun 26, 2018"
37,92,Mario Kart 8 Deluxe,Switch,"Apr 28, 2017"
38,91,Divinity: Original Sin 2 - Definitive Edition,"PS4, XB1, PC, Switch, XBXS, PS5","Aug 30, 2018"
39,91,NieR: Automata Game of the YoRHa Edition,"PS4, PC, PS5","Feb 26, 2019"
40,91,Bloodborne,"PS4, PS5","Mar 24, 2015"
41,91,INSIDE,"PS4, XB1, PC, XBXS, PS5","Jun 29, 2016"
42,91,Forza Horizon 3,"XB1, PC, XBXS","Sep 27, 2016"
43,91,Bayonetta 2,Wii-U,"Oct 24, 2014"
44,91,Dota 2,PC,"Jul 9, 2013"
45,91,Freshly Frosted,"PC, Switch, PS4","Jun 10, 2022"
46,90,Ori and the Will of the Wisps,"XB1, PC, XBXS","Mar 11, 2020"
47,90,Overwatch,"PS4, XB1, PC, XBXS, PS5","May 24, 2016"
48,90,Dreams,"PS4, PS5","Feb 14, 2020"
49,90,Rayman Legends,"PS4, XB1, Wii-U, PC, XBXS, PS5","Sep 3, 2013"
50,90,Animal Crossing: New Horizons,Switch,"Mar 20, 2020"
51,90,The Legend of Zelda: A Link Between Worlds,3DS,"Nov 22, 2013"
52,90,Ori and the Blind Forest,"XB1, PC, XBXS","Mar 11, 2015"
53,90,Crusader Kings III,PC,"Sep 1, 2020"
54,90,NORCO,PC,"Mar 25, 2022"
55,90,Sekiro: Shadows Die Twice,"PS4, XB1, PC, XBXS, PS5","Mar 22, 2019"
56,90,Hi-Fi Rush,"XBXS, PC","Jan 25, 2023"
57,90,Dwarf Fortress,PC,"Dec 6, 2022"
58,90,Minecraft,"PS4, PS5, XBXS, XB1, Switch, PC","Sep 20, 2017"
59,90,Monster Hunter World: Iceborne,"PS4, XB1, PC, XBXS, PS5","Sep 6, 2019"
60,90,Monster Hunter World,"PS4, XB1, PC, XBXS, PS5","Jan 26, 2018"
61,90,The Legend of Zelda: Majora's Mask 3D,3DS,"Feb 13, 2015"
62,90,Dark Souls III,"PS4, XB1, PC, XBXS, PS5","Apr 12, 2016"
63,90,The Stanley Parable: Ultra Deluxe,"XBXS, PS5, XB1, PS4, Switch, PC","Apr 27, 2022"
64,90,Hollow Knight,"PC, Switch, PS4, XB1, XBXS, PS5","Feb 24, 2017"
65,90,Tetris Effect,"PS4, PS5, PC","Nov 9, 2018"
66,90,Mark of the Ninja: Remastered,"PS4, XB1, PC, Switch, XBXS, PS5","Oct 9, 2018"
67,89,Super Mario 3D World + Bowser's Fury,Switch,"Feb 12, 2021"
68,89,Stardew Valley,"PS4, XB1, PC, Switch, XBXS, PS5","Feb 26, 2016"
69,89,Paradigm,PC,"Apr 5, 2017"
70,89,Return of the Obra Dinn,"PC, PS4, XB1, Switch, XBXS, PS5","Oct 18, 2018"
71,89,Final Fantasy XIV: Shadowbringers,"PS4, PC, PS5","Jul 2, 2019"
72,89,The House in Fata Morgana,"PC, Switch, PS4, Vita","May 13, 2016"
73,89,Nier: Automata,"PS4, PC, PS5","Mar 7, 2017"
74,89,Slay The Spire,"PC, Switch","Jan 23, 2019"
75,89,Horizon Zero Dawn,"PS4, PS5","Feb 28, 2017"
76,89,Path of the Midnight Sun,PC,"Jan 10, 2023"
77,89,Chained Echoes,"Switch, PS5, XBXS, XB1, PS4, PC","Dec 8, 2022"
78,89,Sid Meier's Civilization VI,PC,"Oct 21, 2016"
79,89,Tetris Effect: Connected,"XB1, PC, XBXS","Nov 10, 2020"
80,89,Not For Broadcast,PC,"Jan 25, 2022"
81,89,Neon White,"Switch, PC","Jun 15, 2022"
82,89,Diablo III: Ultimate Evil Edition,"PS4, XB1, XBXS, PS5","Aug 18, 2014"
83,89,DOOM Eternal,"PC, PS4, XB1, Switch, Stadia, XBXS, PS5","Mar 20, 2020"
84,89,Disco Elysium: The Final Cut,"Switch, PS5, PC, XBXS, XB1, PS4, Stadia","Jan 1, 2021"
85,89,The Witcher 3: Wild Hunt - Hearts of Stone,"PS4, XB1, PC, XBXS, PS5","Oct 12, 2015"
86,89,Pillars of Eternity,"PS4, XB1, PC, XBXS, PS5","Mar 26, 2015"
87,89,DUSK,"PC, Switch","Oct 31, 2017"
88,89,Kentucky Route Zero,PC,"Jul 20, 2016"
89,89,Asgard's Wrath,Oculus,"Oct 9, 2019"
90,89,Dead Cells,"PS4, XB1, PC, Switch, XBXS, PS5","Aug 7, 2018"
91,89,Bustafellows,"PC, Switch","Jul 30, 2021"
92,89,Hearthstone: Murder at Castle Nathria,PC,"Aug 2, 2022"
93,89,HYPER DEMON,PC,"Sep 19, 2022"
94,89,Rogue Legacy 2,"XBXS, XB1, PC","Apr 28, 2022"
95,89,Tony Hawk's Pro Skater 1 + 2,"XB1, PS4, PC, XBXS, PS5","Sep 4, 2020"
96,89,Shovel Knight,"PS4, XB1, Wii-U, PC, 3DS, XBXS, PS5","Jun 24, 2014"
97,89,Xenoblade Chronicles Definitive Edition,Switch,"May 29, 2020"
98,89,Mario Kart 8 DLC Pack 2,Wii-U,"Apr 23, 2015"
99,89,Tales from the Borderlands: Episode Five - The Vault of the Traveler,"PS4, XB1, PC, XBXS, PS5","Oct 20, 2015"
100,89,Bayonetta 1+2 - Switch Collection,Switch,"Feb 16, 2018"
101,89,Ratchet & Clank: Rift Apart,PS5,"Jun 11, 2021"
102,89,Shovel Knight: Treasure Trove,Switch,"Mar 3, 2017"
103,89,Guacamelee! Super Turbo Championship Edition,"PS4, XB1, Wii-U, PC, XBXS, PS5","Jul 2, 2014"
104,89,Astro Bot Rescue Mission,PSVR,"Oct 2, 2018"
105,89,Mission: It's Complicated,PC,"Feb 14, 2020"
106,89,Swarm,Oculus,"Apr 8, 2021"
107,89,Pillars of Eternity II: Deadfire,PC,"May 8, 2018"
108,89,Mortal Kombat 11 Ultimate,"XBXS, PS5, Switch, PC, XB1, PS4, Stadia","Nov 17, 2020"
109,89,Dead Space (Remake),"PC, PS5, XBXS","Jan 27, 2023"
110,89,Super Mario Maker for Wii-U,Wii-U,"Sep 11, 2015"
111,89,Psychonauts 2,"PC, XB1, XBXS, PS4","Aug 25, 2021"
112,89,Fire Emblem: Three Houses,Switch,"Jul 26, 2019"
113,89,World of Warcraft: Legion,PC,"Aug 30, 2016"
114,89,Stephen's Sausage Roll,PC,"Apr 18, 2016"
115,89,Until You Fall,"PSVR, Oculus, Vive","Sep 29, 2020"
116,89,Psychonauts,"XBXS, PC, XB1, PS4","Apr 19, 2005"
117,88,Forza Motorsport 6,"XB1, XBXS","Sep 14, 2015"
118,88,Ori and the Blind Forest: Definitive Edition,"XB1, PC, Switch, XBXS","Mar 11, 2016"
119,88,Immortality,"XBXS, PC","Aug 30, 2022"
120,88,Sonic Mania Plus,"PS4, XB1, Switch, XBXS, PS5","Jul 17, 2018"
121,88,Odin Sphere Leifthrasir,"PS4, Vita, PS5","Jun 7, 2016"
122,88,Devil May Cry 5,"PS4, XB1, PC, XBXS, PS5","Mar 8, 2019"
123,88,What Remains of Edith Finch,"PS4, XB1, PC, XBXS, PS5","Apr 25, 2017"
124,88,Into The Breach,PC,"Feb 27, 2018"
125,88,TowerFall,Switch,"Sep 27, 2018"
126,88,Gotta Protectors,3DS,"Jul 28, 2016"
127,88,Persona 4 Golden,"PC, PS5, XBXS, XB1, PS4, Switch","Jun 13, 2020"
128,88,Ikaruga,Switch,"May 29, 2018"
129,88,Dark Souls II,PC,"Apr 25, 2014"
130,88,Mario Kart 8,Wii-U,"May 30, 2014"
131,88,Horizon Forbidden West,"PS5, PS4","Feb 18, 2022"
132,88,Dragon Quest XI: Echoes of an Elusive Age,"PS4, PC, PS5","Sep 4, 2018"
133,88,Cuphead: The Delicious Last Course,"PS4, PC, XBXS, PS5, Switch","Jun 30, 2022"
134,88,The Last of Us Part I,PS5,"Sep 2, 2022"
135,88,Injustice 2: Legendary Edition,"XB1, PS4, XBXS, PS5","Mar 27, 2018"
136,88,Final Fantasy VII Remake,"PS4, PS5","Apr 10, 2020"
137,88,XCOM 2: War of the Chosen,"XB1, PC, PS4, XBXS, PS5","Aug 29, 2017"
138,88,Hollow Knight: Voidheart Edition,"PS4, XB1, XBXS, PS5","Sep 25, 2018"
139,88,Owlboy,"PS4, XB1, PC, Switch, XBXS, PS5","Nov 1, 2016"
140,88,Death's Door,"XB1, PC, XBXS","Jul 20, 2021"
141,88,Marvel's Spider-Man,"PS4, PS5","Sep 7, 2018"
142,88,Super Mario Maker 2,Switch,"Jun 28, 2019"
143,88,Xenoblade Chronicles 3,Switch,"Jul 29, 2022"
144,88,Super TIME Force Ultra,"PS4, PC, PS5","Aug 25, 2014"
145,88,Out of the Park Baseball 15,PC,"Apr 21, 2014"
146,88,Just Shapes & Beats,"PC, Switch","May 31, 2018"
147,88,Overcooked! All You Can Eat,"PS5, XBXS","Nov 10, 2020"
148,88,Nier: Automata - The End of YoRHa Edition,Switch,"Oct 6, 2022"
149,88,Overboard!,"Switch, PC","Jun 2, 2021"
150,88,The Binding of Isaac: Afterbirth,PC,"Oct 30, 2015"
151,88,Devil May Cry 5: Special Edition,"XBXS, PS5","Nov 10, 2020"
152,88,Legends of Runeterra,PC,"Apr 30, 2020"
153,88,Cuphead,"XB1, PC, Switch, PS4, XBXS, PS5","Sep 29, 2017"
154,88,It Takes Two,"PC, XB1, PS5, XBXS, PS4","Mar 26, 2021"
155,88,Forza Horizon 2,"XB1, XBXS","Sep 29, 2014"
156,88,Rez Infinite,"PS4, PC, PS5","Oct 13, 2016"
157,88,flower,"PS4, PS5","Nov 15, 2013"
158,88,Destiny 2: The Witch Queen,"PC, XBXS, PS5, PS4, XB1","Feb 22, 2022"
159,88,Deathloop,"PS5, PC","Sep 14, 2021"
160,88,Nioh,"PS4, PS5","Feb 7, 2017"
161,88,Spelunky 2,"PC, PS4, PS5","Sep 15, 2020"
162,88,Sid Meier's Civilization VI - Console Edition,"Switch, PS4, XB1, XBXS, PS5","Nov 16, 2018"
163,88,Rivals of Aether,"XB1, PC, XBXS","Mar 28, 2017"
164,88,Lone Echo,Oculus,"Jul 20, 2017"
165,88,SteamWorld Dig 2,"Switch, PC, PS4, Vita, PS5","Sep 21, 2017"
166,88,Dragon Age: Inquisition,"PS4, XB1, PC, XBXS, PS5","Nov 18, 2014"
167,88,Bastion,"PS4, XB1, PC, XBXS, PS5","Aug 16, 2011"
168,88,Uncharted: Legacy of Thieves Collection,"PC, PS5","Jan 28, 2022"
169,88,Out of the Park Baseball 16,PC,"Mar 23, 2015"
170,88,Robo Recall,Oculus,"Mar 1, 2017"
171,88,Monster Hunter Rise,Switch,"Mar 26, 2021"
172,88,Cave Story+,"PC, Switch","Nov 22, 2011"
173,88,Fallout 4,"PS4, XB1, PC, XBXS, PS5","Nov 10, 2015"
174,88,Streets Of Rage 4 - Mr. X Nightmare,"XBXS, PS5, Switch, PC, PS4, XB1","Jul 15, 2021"
175,88,F1 2020,"PC, XB1, PS4, XBXS, PS5","Jul 10, 2020"
176,88,Fez,"PS4, PC, PS5","Apr 30, 2013"
177,88,Chicory: A Colorful Tale,"PS5, PS4, PC","Jun 10, 2021"
178,88,The Legend of Heroes: Trails in the Sky,PC,"Jul 29, 2014"
179,88,TRI: Of Friendship and Madness,PC,"Oct 9, 2014"
180,88,Divinity: Original Sin - Enhanced Edition,"PS4, XB1, PC, XBXS, PS5","Oct 27, 2015"
181,88,Final Fantasy XIV: Stormblood,"PS4, PC, PS5","Jun 20, 2017"
182,88,Hyper Light Drifter - Special Edition,Switch,"Sep 6, 2018"
183,88,Cthulhu Saves Christmas,PC,"Dec 23, 2019"
184,88,Moving Out: Movers in Paradise,"PC, PS4, XB1, Switch","Feb 25, 2021"
185,88,Two Point Campus: Space Academy,"PC, PS5, PS4, XBXS, XB1, Switch","Dec 6, 2022"
186,87,There Is No Game: Wrong Dimension,PC,"Aug 6, 2020"
187,87,Diablo III: Eternal Collection,Switch,"Nov 2, 2018"
188,87,Return to Monkey Island,"Switch, PC","Sep 19, 2022"
189,87,Metroid Dread,Switch,"Oct 8, 2021"
190,87,The Case of the Golden Idol,PC,"Oct 13, 2022"
191,87,Mass Effect Legendary Edition,"PS4, PC, XBXS, PS5","May 14, 2021"
192,87,The BIT.TRIP,"PS4, PS5","Dec 5, 2015"
193,87,Injustice 2,"PS4, XB1, XBXS, PS5","May 16, 2017"
194,87,Marvel's Spider-Man: Remastered,"PS5, PC","Nov 12, 2020"
195,87,NBA 2K17,"PS4, XB1, PC, XBXS, PS5","Sep 16, 2016"
196,87,Out of the Park Baseball 17,PC,"Mar 22, 2016"
197,87,Okami HD,"PC, PS4, XB1, XBXS, PS5","Dec 12, 2017"
198,87,Ghost of Tsushima Director's Cut,"PS5, PS4","Aug 20, 2021"
199,87,SteamWorld Heist: Ultimate Edition,Switch,"Dec 28, 2017"
200,87,Street Fighter V: Arcade Edition,"PC, PS4, PS5","Jan 16, 2018"
201,87,Dark Souls II: Scholar of the First Sin,"PS4, XB1, PC, XBXS, PS5","Apr 1, 2015"
202,87,Tales of Arise,"PS5, PC, XBXS, XB1, PS4","Sep 10, 2021"
203,87,Crypt of the Necrodancer,"PS4, PC, PS5","Apr 23, 2015"
204,87,Vampire Survivors,PC,"Dec 17, 2021"
205,87,Mario Kart 8 DLC Pack 1,Wii-U,"Nov 13, 2014"
206,87,Quake (2021 Remaster),"XBXS, PS5, XB1, PS4, Switch, PC","Aug 19, 2021"
207,87,Gran Turismo 7,"PS5, PS4","Mar 4, 2022"
208,87,Astral Chain,Switch,"Aug 30, 2019"
209,87,Tales from the Borderlands - Season One,"PS4, XB1, PC, XBXS, PS5","Oct 20, 2015"
210,87,Minecraft: Nintendo Switch Edition,Switch,"May 11, 2017"
211,87,Hearthstone: Heroes of Warcraft,PC,"Mar 11, 2014"
212,87,Pistol Whip,"Vive, Oculus","Nov 7, 2019"
213,87,The Nioh Collection,PS5,"Feb 5, 2021"
214,87,Battlefield 1,"PS4, XB1, PC, XBXS, PS5","Oct 21, 2016"
215,87,Toki Tori - Switch Edition,Switch,"Mar 30, 2018"
216,87,Rolling Gunner,Switch,"Jun 20, 2019"
217,87,Euro Truck Simulator 2 - Road to the Black Sea,PC,"Dec 5, 2019"
218,87,Titanfall 2,"PS4, XB1, PC, XBXS, PS5","Oct 28, 2016"
219,87,Diablo III: Reaper of Souls,PC,"Mar 25, 2014"
220,87,The Legend of Zelda: Link's Awakening,Switch,"Sep 20, 2019"
221,87,Halo: The Master Chief Collection,"XB1, XBXS","Nov 11, 2014"
222,87,Sonic Mania,"PS4, XB1, PC, Switch, XBXS, PS5","Aug 15, 2017"
223,87,StarCraft II: Legacy of the Void,PC,"Nov 10, 2015"
224,87,Dishonored 2,"PS4, XB1, PC, XBXS, PS5","Nov 11, 2016"
225,87,XCOM 2,"PS4, XB1, PC, XBXS, PS5","Feb 5, 2016"
226,87,Steins;Gate (Steam Edition),PC,"Sep 8, 2016"
227,87,A Short Hike,PC,"Jul 30, 2019"
228,87,Ni no Kuni 2: Revenant Kingdom,"PS4, PC, PS5","Mar 23, 2018"
229,87,Pokémon Sun and Moon,3DS,"Nov 18, 2016"
230,87,Homeworld Remastered Collection,PC,"Feb 25, 2015"
231,87,Doki Doki Literature Club Plus!,"Switch, PC, XB1, PS4","Jun 30, 2021"
