지점,지점명,일시,기온(°C)
108,서울,2020-02-07 00:01,-6.6
108,서울,2020-02-07 00:02,-6.6
108,서울,2020-02-07 00:03,-6.6
108,서울,2020-02-07 00:04,-6.6
108,서울,2020-02-07 00:05,-6.7
108,서울,2020-02-07 00:06,-6.7
108,서울,2020-02-07 00:07,-6.7
108,서울,2020-02-07 00:08,-6.7
108,서울,2020-02-07 00:09,-6.7
108,서울,2020-02-07 00:10,-6.7
108,서울,2020-02-07 00:11,-6.7
108,서울,2020-02-07 00:12,-6.7
108,서울,2020-02-07 00:13,-6.7
108,서울,2020-02-07 00:14,-6.8
108,서울,2020-02-07 00:15,-6.8
108,서울,2020-02-07 00:16,-6.8
108,서울,2020-02-07 00:17,-6.8
108,서울,2020-02-07 00:18,-6.8
108,서울,2020-02-07 00:19,-6.8
108,서울,2020-02-07 00:20,-6.8
108,서울,2020-02-07 00:21,-6.8
108,서울,2020-02-07 00:22,-6.8
108,서울,2020-02-07 00:23,-6.8
108,서울,2020-02-07 00:24,-6.8
108,서울,2020-02-07 00:25,-6.8
108,서울,2020-02-07 00:26,-6.8
108,서울,2020-02-07 00:27,-6.8
108,서울,2020-02-07 00:28,-6.8
108,서울,2020-02-07 00:29,-6.8
108,서울,2020-02-07 00:30,-6.8
108,서울,2020-02-07 00:31,-6.8
108,서울,2020-02-07 00:32,-6.8
108,서울,2020-02-07 00:33,-6.8
108,서울,2020-02-07 00:34,-6.8
108,서울,2020-02-07 00:35,-6.8
108,서울,2020-02-07 00:36,-6.8
108,서울,2020-02-07 00:37,-6.8
108,서울,2020-02-07 00:38,-6.8
108,서울,2020-02-07 00:39,-6.8
108,서울,2020-02-07 00:40,-6.8
108,서울,2020-02-07 00:41,-6.9
108,서울,2020-02-07 00:42,-6.9
108,서울,2020-02-07 00:43,-6.9
108,서울,2020-02-07 00:44,-6.9
108,서울,2020-02-07 00:45,-6.9
108,서울,2020-02-07 00:46,-6.9
108,서울,2020-02-07 00:47,-6.9
108,서울,2020-02-07 00:48,-6.9
108,서울,2020-02-07 00:49,-6.9
108,서울,2020-02-07 00:50,-6.9
108,서울,2020-02-07 00:51,-6.9
108,서울,2020-02-07 00:52,-6.9
108,서울,2020-02-07 00:53,-6.9
108,서울,2020-02-07 00:54,-7
108,서울,2020-02-07 00:55,-7
108,서울,2020-02-07 00:56,-7
108,서울,2020-02-07 00:57,-7
108,서울,2020-02-07 00:58,-7
108,서울,2020-02-07 00:59,-7
108,서울,2020-02-07 01:00,-7
108,서울,2020-02-07 01:01,-7
108,서울,2020-02-07 01:02,-7.1
108,서울,2020-02-07 01:03,-7
108,서울,2020-02-07 01:04,-7
108,서울,2020-02-07 01:05,-7
108,서울,2020-02-07 01:06,-7.1
108,서울,2020-02-07 01:07,-7.1
108,서울,2020-02-07 01:08,-7.1
108,서울,2020-02-07 01:09,-7.1
108,서울,2020-02-07 01:10,-7.1
108,서울,2020-02-07 01:11,-7.1
108,서울,2020-02-07 01:12,-7.1
108,서울,2020-02-07 01:13,-7.1
108,서울,2020-02-07 01:14,-7.1
108,서울,2020-02-07 01:15,-7.1
108,서울,2020-02-07 01:16,-7.1
108,서울,2020-02-07 01:17,-7.1
108,서울,2020-02-07 01:18,-7.1
108,서울,2020-02-07 01:19,-7.1
108,서울,2020-02-07 01:20,-7.1
108,서울,2020-02-07 01:21,-7.1
108,서울,2020-02-07 01:22,-7.1
108,서울,2020-02-07 01:23,-7.2
108,서울,2020-02-07 01:24,-7.2
108,서울,2020-02-07 01:25,-7.2
108,서울,2020-02-07 01:26,-7.2
108,서울,2020-02-07 01:27,-7.2
108,서울,2020-02-07 01:28,-7.2
108,서울,2020-02-07 01:29,-7.2
108,서울,2020-02-07 01:30,-7.2
108,서울,2020-02-07 01:31,-7.2
108,서울,2020-02-07 01:32,-7.1
108,서울,2020-02-07 01:33,-7.2
108,서울,2020-02-07 01:34,-7.2
108,서울,2020-02-07 01:35,-7.1
108,서울,2020-02-07 01:36,-7.1
108,서울,2020-02-07 01:37,-7.1
108,서울,2020-02-07 01:38,-7.1
108,서울,2020-02-07 01:39,-7.1
108,서울,2020-02-07 01:40,-7.1
108,서울,2020-02-07 01:41,-7.1
108,서울,2020-02-07 01:42,-7
108,서울,2020-02-07 01:43,-7
108,서울,2020-02-07 01:44,-7
108,서울,2020-02-07 01:45,-7
108,서울,2020-02-07 01:46,-6.9
108,서울,2020-02-07 01:47,-6.9
108,서울,2020-02-07 01:48,-6.9
108,서울,2020-02-07 01:49,-6.8
108,서울,2020-02-07 01:50,-6.8
108,서울,2020-02-07 01:51,-6.8
108,서울,2020-02-07 01:52,-6.8
108,서울,2020-02-07 01:53,-6.8
108,서울,2020-02-07 01:54,-6.8
108,서울,2020-02-07 01:55,-6.8
108,서울,2020-02-07 01:56,-6.8
108,서울,2020-02-07 01:57,-6.7
108,서울,2020-02-07 01:58,-6.7
108,서울,2020-02-07 01:59,-6.7
108,서울,2020-02-07 02:00,-6.7
108,서울,2020-02-07 02:01,-6.7
108,서울,2020-02-07 02:02,-6.7
108,서울,2020-02-07 02:03,-6.7
108,서울,2020-02-07 02:04,-6.7
108,서울,2020-02-07 02:05,-6.7
108,서울,2020-02-07 02:06,-6.6
108,서울,2020-02-07 02:07,-6.6
108,서울,2020-02-07 02:08,-6.6
108,서울,2020-02-07 02:09,-6.6
108,서울,2020-02-07 02:10,-6.6
108,서울,2020-02-07 02:11,-6.5
108,서울,2020-02-07 02:12,-6.5
108,서울,2020-02-07 02:13,-6.5
108,서울,2020-02-07 02:14,-6.5
108,서울,2020-02-07 02:15,-6.4
108,서울,2020-02-07 02:16,-6.4
108,서울,2020-02-07 02:17,-6.4
108,서울,2020-02-07 02:18,-6.4
108,서울,2020-02-07 02:19,-6.3
108,서울,2020-02-07 02:20,-6.3
108,서울,2020-02-07 02:21,-6.3
108,서울,2020-02-07 02:22,-6.2
108,서울,2020-02-07 02:23,-6.2
108,서울,2020-02-07 02:24,-6.2
108,서울,2020-02-07 02:25,-6.2
108,서울,2020-02-07 02:26,-6.1
108,서울,2020-02-07 02:27,-6.1
108,서울,2020-02-07 02:28,-6.1
108,서울,2020-02-07 02:29,-6.1
108,서울,2020-02-07 02:30,-6.1
108,서울,2020-02-07 02:31,-6.1
108,서울,2020-02-07 02:32,-6
108,서울,2020-02-07 02:33,-6
108,서울,2020-02-07 02:34,-5.9
108,서울,2020-02-07 02:35,-5.9
108,서울,2020-02-07 02:36,-5.9
108,서울,2020-02-07 02:37,-5.8
108,서울,2020-02-07 02:38,-5.8
108,서울,2020-02-07 02:39,-5.8
108,서울,2020-02-07 02:40,-5.7
108,서울,2020-02-07 02:41,-5.7
108,서울,2020-02-07 02:42,-5.7
108,서울,2020-02-07 02:43,-5.7
108,서울,2020-02-07 02:44,-5.7
108,서울,2020-02-07 02:45,-5.6
108,서울,2020-02-07 02:46,-5.6
108,서울,2020-02-07 02:47,-5.6
108,서울,2020-02-07 02:48,-5.6
108,서울,2020-02-07 02:49,-5.6
108,서울,2020-02-07 02:50,-5.6
108,서울,2020-02-07 02:51,-5.6
108,서울,2020-02-07 02:52,-5.6
108,서울,2020-02-07 02:53,-5.6
108,서울,2020-02-07 02:54,-5.6
108,서울,2020-02-07 02:55,-5.6
108,서울,2020-02-07 02:56,-5.6
108,서울,2020-02-07 02:57,-5.5
108,서울,2020-02-07 02:58,-5.6
108,서울,2020-02-07 02:59,-5.6
108,서울,2020-02-07 03:00,-5.6
108,서울,2020-02-07 03:01,-5.6
108,서울,2020-02-07 03:02,-5.5
108,서울,2020-02-07 03:03,-5.5
108,서울,2020-02-07 03:04,-5.4
108,서울,2020-02-07 03:05,-5.4
108,서울,2020-02-07 03:06,-5.4
108,서울,2020-02-07 03:07,-5.4
108,서울,2020-02-07 03:08,-5.3
108,서울,2020-02-07 03:09,-5.4
108,서울,2020-02-07 03:10,-5.4
108,서울,2020-02-07 03:11,-5.4
108,서울,2020-02-07 03:12,-5.3
108,서울,2020-02-07 03:13,-5.4
108,서울,2020-02-07 03:14,-5.4
108,서울,2020-02-07 03:15,-5.4
108,서울,2020-02-07 03:16,-5.4
108,서울,2020-02-07 03:17,-5.4
108,서울,2020-02-07 03:18,-5.4
108,서울,2020-02-07 03:19,-5.4
108,서울,2020-02-07 03:20,-5.4
108,서울,2020-02-07 03:21,-5.4
108,서울,2020-02-07 03:22,-5.4
108,서울,2020-02-07 03:23,-5.4
108,서울,2020-02-07 03:24,-5.4
108,서울,2020-02-07 03:25,-5.4
108,서울,2020-02-07 03:26,-5.4
108,서울,2020-02-07 03:27,-5.4
108,서울,2020-02-07 03:28,-5.4
